"Country.Region";"population";"PopulationUN";"continent";"subcontinent";"Pop_0-4";"Pop_5-9";"Pop_10-14";"Pop_15-19";"Pop_20-24";"Pop_25-29";"Pop_30-34";"Pop_35-39";"Pop_40-44";"Pop_45-49";"Pop_50-54";"Pop_55-59";"Pop_60-64";"Pop_65-69";"Pop_70-74";"Pop_75-79";"Pop_80-84";"Pop_85-89";"Pop_90-94";"Pop_95-99";"100+";"Density_per_km2";"Deaths"
"China";1401667160;1424548000;"Asia";"Eastern Asia";83932;86735;84263;82342;87158;97989;128739;100091;96274;119838;123445;98740;77514;74150;44950;26545;16181;7582;2305;475;75;153.3;50672000
"India";1359530533;1383198000;"Asia";"Southern Asia";116880;117982;126156;126046;122505;117397;112176;103460;90220;79440;68876;59256;48891;38260;24091;15084;8489;3531;993;223;48;464.1;48673000
"United States";329413981;331432000;"Northern America";"Oceania";19676;20045;21089;21243;22259;23835;23052;21616;20295;20054;20578;21542;20669;17819;14355;9728;6461;3911;2051;627;97;36.2;NA
"Indonesia";266911900;272223000;"Asia";"South-Eastern Asia";23658;24298;22985;23318;22653;20918;19973;21193;19681;18166;15955;13200;10395;7136;4618;2957;1632;593;169;23;2;151;8573000
"Pakistan";218873520;208362000;"Asia";"Southern Asia";27963;25499;23452;21976;20772;19158;16818;13998;11616;9633;8231;6892;5279;3623;2706;1853;962;365;85;11;1;286.5;7338000
"Brazil";211226388;213863000;"South America";"Oceania";14475;14602;14942;16218;17152;16953;17148;17329;15661;13801;12823;11598;9468;7429;5309;3492;2317;1175;511;135;21;25.4;6691000
"Nigeria";200963599;206153000;"Africa";"Western Africa";33939;29914;25793;21910;18069;15109;13045;11324;9459;7579;5943;4757;3657;2602;1717;907;333;75;9;1;0;226.3;11584000
"Bangladesh";168231270;169775000;"Asia";"Southern Asia";14328;14644;15089;15585;15239;14526;13763;12749;11225;9426;8305;6701;4500;2796;2357;1739;1021;483;167;39;6;1265.2;4452000
"Russia";146780720;143787000;"Europe";"Eastern Europe";9272;9351;8174;7082;6615;8993;12544;11925;10605;9771;8480;10418;10074;8428;5390;3159;3486;1390;668;102;9;8.9;9250000
"Mexico";126577691;133870000;"Latin America and the Caribbean";"Central America";10959;11211;11141;11210;10940;10796;9790;9090;8532;8016;6925;5833;4669;3595;2467;1722;1059;610;275;81;13;66.3;3746000
"Japan";126010000;126496000;"Asia";"Eastern Asia";4778;5401;5565;5703;5997;6150;6790;7666;8468;10005;8659;7883;7496;8379;9127;7058;5339;3630;1786;518;79;346.9;6633000
"Philippines";108376492;109703000;"Asia";"South-Eastern Asia";10616;11398;10907;10463;10104;9480;8247;7255;6552;5759;5117;4250;3393;2486;1661;978;581;241;76;15;2;367.5;3086000
"Egypt";100103288;102941000;"Africa";"Northern Africa";12697;12331;9684;8701;8417;8095;8065;7133;6041;4908;4213;3632;2961;2161;1666;865;484;210;59;10;1;102.8;2840000
"Ethiopia";98665000;112759000;"Africa";"Eastern Africa";16791;15246;13853;12976;11747;9692;7519;6274;4934;4105;3229;2475;2056;1568;1188;741;372;152;39;5;0;115;3594000
"Vietnam";96208984;98360000;"Asia";"Western Asia";7892;7586;7098;6501;6820;8569;8437;7764;7034;6539;5868;5242;4331;3012;1652;1127;861;609;275;98;24;313.9;2988000
"DR Congo";86790567;89505000;"Africa";"Middle Africa";15827;13660;11528;9473;7730;6440;5341;4421;3629;2976;2422;1925;1486;1099;789;480;233;82;19;2;0;39.5;3971000
"Iran";83262859;83587000;"Asia";"Southern Asia";7638;6928;6218;5530;5556;6787;8467;8273;6491;5164;4618;3677;3132;2265;1448;907;552;277;57;8;1;51.6;1982000
"Turkey";83154997;83836000;"Asia";"Western Asia";6567;6852;6773;6822;6770;6404;6395;6380;6008;5439;4755;4153;3446;2746;1970;1383;877;453;125;18;1;109.6;2198000
